,Number,Title,Description,Link,Season,Episode
200,"Season 152, Episode 4",Tug of War in Singapore,"San Francisco newlyweds follow his promising tech career to Singapore with a puppy in tow. They need a place that’s pet-friendly, and they are looking for a large enough space for both his ...",www.hgtv.com/shows/house-hunters-international/episodes/tug-of-war-in-singapore,152,4
201,"Season 152, Episode 5",A Family Home in Hobart,"A Washington, DC, couple that fell in love with Australia's vibe while studying abroad decided to return to the country's slower pace. Now, their lease is up and they want to buy, but they ...",www.hgtv.com/shows/house-hunters-international/episodes/a-family-home-in-hobart,152,5
202,"Season 152, Episode 6",A Dream Divided in Portugal,"A couple decides to ditch pricey San Francisco and set their sights on living abroad in Portugal. She wants to relax in the southern coastal region, but he prefers the famous bike routes in ...",www.hgtv.com/shows/house-hunters-international/episodes/a-dream-divided-in-portugal,152,6
203,"Season 152, Episode 7","Mexican Roots, American Anxieties","A couple relocates to his home country of Mexico where their kids can soak up the language and culture. She's on board, but her business and personal anxieties start to set in when they ...",www.hgtv.com/shows/house-hunters-international/episodes/mexican-roots-american-anxieties,152,7
204,"Season 152, Episode 8",Made in Merida,"A Knoxville, TN, woman decides to make a permanent move to Merida, Mexico, after traveling there for a root canal. She quickly discovers that having champagne tastes on a cerveza budget ...",www.hgtv.com/shows/house-hunters-international/episodes/made-in-merida,152,8
205,"Season 152, Episode 9",Untapped Potential in Siem Reap,A globetrotting Australian fell in love with Cambodia and feels it's the perfect fit for her foodie business. She looks to start a company in Siem Reap but is concerned about giving up the ...,www.hgtv.com/shows/house-hunters-international/episodes/untapped-potential-in-siem-reap,152,9
206,"Season 152, Episode 10",Cooking Up a Fresh Start in Cambodia,"A couple and their dog are relocating within Cambodia to open a new restaurant in Siem Reap. He wants to be close to work to keep costs down, but she dreams of a grown-up life in a luxury ...",www.hgtv.com/shows/house-hunters-international/episodes/cooking-up-a-fresh-start-in-cambodia,152,10
207,"Season 152, Episode 11",The Da Nang Dilemma,"Newlyweds leave their comfortable lives in Australia to chase his dream in Vietnam. He's eager to embrace the unknown and live in a Vietnamese neighborhood, but she prefers to settle near ...",www.hgtv.com/shows/house-hunters-international/episodes/the-da-nang-dilemma,152,11
208,"Season 152, Episode 12",Bargaining in Bratislava,"A young professional longing for a European experience follows her job to Bratislava, Slovakia. Taking a reduced salary, however, may force her to skimp on her new apartment to take ...",www.hgtv.com/shows/house-hunters-international/episodes/bargaining-in-bratislava,152,12
209,"Season 152, Episode 13",Art Gallery in Puerto Vallarta,"A couple leaves their hectic work life in Chicago to chase their dream of opening an art gallery in Puerto Vallarta, Mexico. However, opposing views on space limitations force them to make ...",www.hgtv.com/shows/house-hunters-international/episodes/art-gallery-in-puerto-vallarta,152,13
